Organization/Person Name,Description,Primary Job Title,Primary Organization,Investment Stage,Investor Type,Regions,Twitter,Website,Number of Investments,Number of Exits
Billie Jean King,Billie Jean King is the founder of the Billie Jean King Leadership Initiative and the co-founder of World TeamTennis. She was named as one o...,Founder,Billie Jean King Leadership Initiative,Seed,Individual/Angel,"East Coast, Southern US",https://twitter.com/BillieJeanKing,,2,
Shawn Dougherty,"Shawn co-founded mophie in June 2005, just prior to the release of the first iPhone. It grew to become the #1 selling battery case manufactu...","Founder, CEO",EXOIO,"Early Stage Venture, Seed",Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/mophiefounder,https://www.exoio.com,1,
Sukhinder Singh,"Sukhinder Singh Cassidy is Founder and Chairman of JOYUS. Before starting JOYUS in January 2011, she spent almost 20 years as a leading cons...",President,StubHub,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/SukhinderSingh,,4,2
Amanda Lannert,"Amanda Lannert is the Chief Executive Officer of The Jellyvision Lab, Inc. and has been a key figure in driving the company’s direction sinc...",CEO,Jellyvision,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",https://twitter.com/AmandaLannert,,2,
Chloe Sladden,"Chloe advises start-ups, invests in early stage companies and is a board member at Gannett (NYSE: GCI, publisher of USA Today and over 100 l...",Founding Partner,#Angels,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/chloes,,17,2
Jenny Rooke,"Dr. Jenny Rooke has been deploying capital at the frontiers of life sciences innovation, with a penchant for technology-fueled solutions and...",Founder & Managing Director,Genoa Ventures,"Early Stage Venture, Late Stage Venture, Seed","Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://www.twitter.com/drjennyrooke,https://www.genoavc.com,10,3
Ann Berry,"Ann Berry is a partner at Cornell Capital. She is also a TV Commentator at BBC, Bloomberg, CBS, CNBC, CNN, Fox, Sky, and Yahoo (https://www....","Partner - Consumer, Industrial Automation, Business Services",Cornell Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Seed",Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/annberry_nyc?lang=en,https://www.annberry.com,2,
Noosheen Hashemi,"Noosheen Hashemi, President and co-founder of The HAND Foundation, is a philanthropist with a passion for entrepreneurship and economic deve...",President & Co-Founder,The HAND Foundation,Seed,Individual/Angel,"West Coast, Western US",,,5,1
Stephanie Tilenius,"Stephanie Tilenius is the founder and CEO of Vida, a next-generation mobile continuous care platform for preventive health and chronic healt...",Co-Founder and CEO,Vida Health,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/stilenius,,1,1
Amanda Eilian,"Amanda Eilian is the co-founder and president of Videolicious, an enterprise mobile video creation platform used by leading brands like IBM,...",Co-Founder and President,Videolicious,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/aeilian,,1,
Sonja Perkins,Sonja Perkins is considered one of the best-performing and most senior women in venture capital. Investing broadly in all stages and areas o...,Managing Director,The Perkins Fund,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/sonjaperkins,http://www.sonjaperkins.com,4,
Elizabeth Comstock,"Beth Comstock is passionate about change and innovation. She leads GE’s growth efforts via marketing, sales, licensing and communications an...",SVP & Chief Marketing Officer,General Electric (GE),Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/bethcomstock,,1,
Liz Keen,Liz Keen is an Operating Partner – Head of Brand and Communications with ACME. She has more than of 10 years of experience in strategic comm...,Operating Partner and Head of Brand and Communications,ACME Capital,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/liz_keen,,4,
Holly Liu,"Holly Liu is co-founder and Chief of Staff of Kabam, a world leader in AAA mobile free-to-play games. Holly also oversees Kabam’s corporate ...",,,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/hollyhliu,,4,
Gale Bowman,"Gale Bowman is the founding director of IrishAngels, an investment network affiliated with the University of Notre Dame. Since its formation...",Managing Director,IrishAngels,Seed,"Investment Partner, Individual/Angel","Greater Chicago Area, Great Lakes, Midwestern US",https://twitter.com/GaleBowman,,1,
Jessica Verrilli,"Jessica is a General Partner at GV (Google Ventures) and founding partner of #ANGELS. Most recently, Jessica was VP of Corporate Development...",General Partner,GV,"Early Stage Venture, Late Stage Venture, Seed","Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/jess,http://jessverr.com/,6,
Julie Rice,Julie Rice and her partner Elizabeth Cutler founded SoulCycle on the belief that fitness should be inspiring. Their vision of a motivational...,Co-Founder,SoulCycle,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Randi Zuckerberg,"Randi Zuckerberg managed marketing initiatives at [Facebook](/organization/facebook), where she led the company's US election and internatio...",Investor,Brit + Co,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/randizuckerberg,,4,1
Deborah Liu,"DEBORAH LIU is manager of product marketing for Facebook Credits and Games at Facebook, where she oversees initiatives related to game appli...",VP of Marketplace,Facebook,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Yael Cohen Braun,"Yael Cohen Braun is the co-founder of Fuck Cancer, a movement dedicated to the prevention, early detection and communication of cancer. Yael...",Co-Founder,StandWith,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/yael,http://yaelcohen.com/,1,
Danielle Morrill,"Danielle Morrill is a co-founder and the chief executive officer of [Mattermark](http://www.crunchbase.com/organization/mattermark), a data ...","General Manager, Meltano",GitLab,Seed,"Investment Partner, Individual/Angel","Greater Denver Area, Western US",http://twitter.com/DanielleMorrill,http://www.daniellemorrill.com,3,
Miki Agrawal,"Miki Agrawal is a force of nature. She was named 2017 Young Global Leader by the World Economic Forum, 2016 Most Impressive Women Entreprene...",,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/twinmiki,http://www.mikiagrawal.com/,2,
Xuezhao Lan,Lan built and led the Corporate Development Strategy team at Dropbox during its most acquisitive time. She previously managed teams at McKin...,Founder and Managing Partner,Basis Set Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/xuezhao,,1,
Eva Ho,"Prior to Fika, Eva was a founding GP at Susa Ventures. She is a serial entrepreneur and founder, most recently a founding executive at Factu...",General Partner,Fika Ventures,Seed,"Investment Partner, Individual/Angel","Greater Los Angeles Area, West Coast, Western US",http://twitter.com/eva_ho,,1,
Katie Rae,Katie serves as the CEO and Managing General Partner of The Engine. She is also co-founder and Managing Director of Project 11 Ventures. She...,CEO and Managing Partner,The Engine,Seed,"Investment Partner, Individual/Angel","Greater Boston Area, East Coast, New England",http://twitter.com/ktrae,http://www.engine.xyz,2,
Gina Bianchini,Gina Bianchini is an expert in creating specialized social networks online and in the real world. She is the founder and CEO of Mightybell (...,Founder,Lean In,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/ginab,,3,
Leah Busque,Leah Busque is the Founder and Executive Chairwoman of the Board of Directors at TaskRabit since April 2016. A pioneer of the sharing econom...,General Partner,Fuel Capital,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/labunleashed,,1,1
Magdalena Yesil,Magdalena is a founder of Broadway Angels and the founding board member and first investor of Salesforce. She joined the Perkins Fund as an ...,Founder,Broadway Angels,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/MagdalenaYesil,,2,1
Julie McDermott,"Early Stage Tech Investor; LP; Mortgage Backed Securities Trader, Columbia MBA, Portuguese, Spanish and English.",Founder and CEO,McDermott LLC,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,11,1
Adora Cheung,Adora Cheung is currently a partner at Y Combinator. She previously served as the CEO and Co-Founder of Homejoy Inc. and was on the Board of...,Partner,Y Combinator,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/nolimits,,1,
Carol Bartz,"Bartz has been a member of the Board of Directors since November 1996. Since November 2005, she has served as Lead Independent Director.Bart...",Member of the Board of Directors,Cisco,Seed,Individual/Angel,"Great Lakes, Midwestern US",https://twitter.com/,,2,
Jaime Schmidt,"Jaime Schmidt is an entrepreneur and the founder of Schmidt’s Naturals, a brand of natural personal care products that she started in her ki...",Founder & CEO,Schmidts Naturals,"Early Stage Venture, Late Stage Venture, Seed, Venture","Investment Partner, Individual/Angel","West Coast, Western US",https://twitter.com/jaimeschmidt,https://jaimeschmidt.info,1,1
Jocelyn Goldfein,Jocelyn Goldfein is a Managing Director at Zetta Venture Partners where she invests in AI-first startups with B2B business models. She's par...,Managing Director,Zetta Venture Partners,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/jgoldfein,http://www.jocelyngoldfein.com,7,1
Geraldine Laybourne,Geraldine Laybourne joined Symantec's board of directors in January 2008. She became Chairman of the Board of Katapult (formerly known as Ka...,Co-Founder,Katapult,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/glaybourne,,2,1
Moj Mahdara,"Moj Mahdara, CEO of Beautycon Media, is an entrepreneur in the entertainment, digital, and emerging technology spaces with a well-honed busi...",CEO & Founder,BeautyCon,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/mojism,,1,
Jennifer Carolan,"Jennifer is the co-founder and General Partner at Reach Capital, a venture fund focused on early stage education technology start-ups. Prior...",Co-Founder & General Partner,Reach Capital,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/jencarolan,,3,1
Liz Fong-Jones,"Liz Fong-Jones is is an advocate for the SRE and observability communities at Honeycomb.io. Liz is a developer advocate, labor and ethics or...",Principal Developer Advocate,Honeycomb,"Grant, Seed",Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/lizthegrey,https://www.lizthegrey.com,3,
Susan Feldman,"Susan Feldman is the founder of In The Groove(www.getinthegroove.com), a new life-style destination for age-defying women. In The Groove is ...",Founder,In The Groove,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",http://twitter.com/Susankfeldman,,1,
Neha Sampat,Neha Sampat (@nehasf) is CEO of Headless CMS Contentstack™ and Founder of Digital Experience Platform Built.io®. Neha is a recognized indust...,Founder and CEO,Contentstack,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/nehasf,http://nehasampat.com,1,1
Dawn Lepore,"Dawn Lepore is an advisor to GoodRx.Dawn most recently was CEO and Chairman of the Board of drugstore.com, inc., a leading online retailer o...",Member of the Board of Directors,AOL,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/DawnLepore,,4,1
Beth Kaplan,Beth Kaplan is the chief operating officer and strategic advisor of [Rent the Runway](https://www.crunchbase.com/organization/rent-the-runwa...,Member of the Board of Directors,Rent the Runway,Seed,Individual/Angel,"Greater Baltimore-Maryland Area, East Coast, Southern US",https://twitter.com/GNCBeth,,1,
Sandy Jen,"Sandy was a co-founder & CTO of Meebo, a consumer Internet company that helped consumers and publishers connect socially. She led Meebo’s en...",Co-founder,Honor,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/sandydjen,,1,1
Jessica Scorpio,"Jessica Scorpio is a Founder of Getaround, the leading peer-to-peer carsharing community. Getaround was born when Jessica was challenged by ...",Co-Founder,Getaround,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/jessicascorpio,,1,
Joanne Yuan,Joanne is responsible for sourcing and executing new investments and working strategically with companies post-investment at Turn/River Capi...,VP of Investment,Turn/River Capital,"Early Stage Venture, Late Stage Venture, Private Equity, Secondary Market, Seed",Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/joanneyuanyuan,,1,
Alexis Maybank,"Alexis Maybank was the Founder & Chief Strategy Officer of Gilt Groupe. Most recently, Maybank has founded Project September, a shopping app...",Founder & Chief Executive Officer,Project September,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/giltfounder,,1,
Elizabeth Cutler,"Elizabeth Cutler and her partner Julie Rice were determined to find an alternative to the fitness routines that felt like work.  In 2006,...",Co-Founder,SoulCycle,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,4,1
Joyce Kim,"Joyce Kim is the cofounder and executive director of Stellar.org. Previously, Joyce was a VC at Freestyle Capital. She also cofounded simple...",Managing Partner,SparkChain Capital,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",http://twitter.com/joyce,https://joycekim.wordpress.com/,1,1
Jean Hammond,Jean Hammond is an angel investor and the founder of LearnLaunch. Jean Hammond is an active angel investor usually focusing on early stag...,Partner,LearnLaunch Accelerator,Seed,"Investment Partner, Individual/Angel","Greater Boston Area, East Coast, New England",http://twitter.com/jeanhammond,,19,6
Nellie Levchin,"Nellie Levchin is a Partner at HVF Investments. She sits on the board of Glow, Inc., as well as several non-profit organizations, and indivi...",Partner,SciFi VC,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,4,
Victoria Grace,"Victoria Grace is a founding partner of Colle Capital Partners LP, an opportunistic, early stage technology venture fund. Previously she was...",Founding Partner,Colle Capital Partners,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",,,8,
Miriam Rivera,"Miriam co-founded Ulu Ventures, where she is the Managing Partner.  Ulu is an early stage angel fund focused on IT investments and has made ...",Co-Founder & Managing Director,Ulu Ventures,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, Silicon Valley, West Coast",,,2,
Yidrienne Lai,Yidrienne joined TCV in 2001 and returned to the firm in 2005. Yidrienne has twelve years of finance and private equity experience. Her prim...,General Partner,ICONIQ Capital,Seed,Individual/Angel,"West Coast, Western US",,,1,1
Emily Chiu,"Emily C. Chiu serves on the Board of Directors of Barnes & Noble Education (NYSE: BNED), where she is a member of the Audit Committee and th...","Strategic Development Principal (Special Projects, New Products & Businesses)",Square,"Early Stage Venture, Private Equity, Seed",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/emilycchiu,,4,1
Sheila Marcelo,"Sheila Marcelo is a Co-Founder and Board Member at Landito. She is also the Founder, Chairman, and CEO of Care.com in 2006 after her persona...","Founder, Chairwoman & CEO",Care.com,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",https://twitter.com/smarcelo,,1,1
Lucy Zhang,"Lucy Zhang is the Co - Founder at Beluga. Prior to Beluga, Lucy helped design and develop products such as Google AdWords, Google News an...",Software Engineer,Facebook,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/lucidlogic,,4,1
Michelle Lam,Michelle is the co-founder and CEO of the intelligent apparel brand [True&Co](/organization/true-co). The company has gathered millions of p...,"CEO, Co-Founder",True&Co,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Lynn Jurich,Lynn Jurich Co-Founded SunRun because she believes going green is the most important social objective and economic opportunity of the 21st C...,Co-Founder & CEO,Sunrun,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/lynnjurich,,1,
Selina Tobaccowala,"Selina Tobaccowala is the co-founder and CEO of Gixo, a new, innovative live coaching fitness app designed to bring a healthy lifestyle to e...",Co-Founder,Gixo,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/selinato,,1,
Bedy Yang,"Bedy Yang is the Venture Partner at 500 Startups. Bedy Yang founded Brazil Innovators, an organization that nurtures entrepreneurship and in...",Managing Partner,500 Startups,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/bedy,,4,1
Laurel Touby,"Laurel Touby is the founder of mediabistro.com, a site devoted to community building, social networking and career improvement for the milli...",Managing Partner,Supernode Ventures,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",http://twitter.com/laureltouby,,3,
Neha Singh,Neha Singh - Founder @ Tracxn,Founder,Tracxn,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/neha_ns,,1,
Joanna Coles,"Joanna Coles was named editor-in-chief of Cosmopolitan in September 2012. With 64 international editions, Cosmo is the world’s largest magaz...",,,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/joannacoles,,2,
Mariska Hargitay,Mariska Hargitay is an American actress and the founder and president of Joyful Heart Foundation. Mariska is best known for her role as N...,Founder and President,Joyful Heart Foundation,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/Mariska,http://www.mariska.com/,1,
Jilliene Helman,"Jilliene Helman is the CEO and Founder of RealtyMogul.com.  RealtyMogul.com is an online marketplace for real estate investing, connecting i...",Co-Founder & CEO,RealtyMogul,Seed,Individual/Angel,"Greater Los Angeles Area, West Coast, Western US",https://twitter.com/JillieneHelman,,1,
RoAnn Costin,"RoAnn Costin serves as the President, Treasurer and Secretary of Reservoir Capital Management, Inc.  Costin serves as a Director of Alvin Va...",Board of Trustees,Stanford University,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",,,1,
Shawn Byers,Shawn Byers - Partner @ MITS Fund,Partner,MITS Fund,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/smsbyers,,3,
Julia Popowitz,"Julia is an advisor to start ups and an active technology angel investor, with angel investments in Gusto, Lever, Baobab Studios, Brit Media...",Investor,ARF Investments,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/juliapopowitz,,19,3
Andra Keay,"Andra Keay is the Managing Director of Silicon Valley Robotics, an industry group supporting innovation and commercialization of robotics te...","Managing Director, Founder",Silicon Valley Robotics,"Early Stage Venture, Seed",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/robotlaunch,,1,
Shelly Kapoor Collins,"Shelly Kapoor Collins is a venture capitalist who works at the intersection of technology, innovation and policy, with a focus on investing ...",General Partner,The Shatter Fund,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/ShalKCollins,http://www.propeller.vc,1,
Sheila Gulati,Ms. Gulati is a seasoned software expert with a wide range of industry experiences. She blends her financial and strategic acumen with her d...,Managing Director,Tola Capital,Seed,"Investment Partner, Individual/Angel","Greater Seattle Area, West Coast, Western US",,,2,1
Jodie Fox,Jodie is a co-founder of the design your own women's fashion shoe startup Shoes of Prey. Jodie is responsible for the company's shoe designs...,Co-Founder,Shoes of Prey,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/jodiefox,http://www.shoesofprey.com,1,
Polly Rodriguez,"Polly Rodriguez is the co-founder and CEO of Unbound, a direct-to-consumer site dedicated to women's sexuality.",Co-Founder & CEO,Unbound,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/polly_claire,,1,
Sara Clemens,"Sara joined Twitch in January 2018 as Chief Operating Officer, leading the commercial, operations and go-to-market teams globally. She has o...",COO,Twitch,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/ClemensSara,,2,
Diane Hessan,"Diane Hessan is President and CEO of Communispace, one of the fastest growing social networking companies in the country, “with a Blue Chip ...",President & Chief Executive Officer,Communispace,Seed,Individual/Angel,"Greater Boston Area, East Coast, New England",,,4,
Di-Ann Eisnor,"Di-Ann lives in Palo Alto, by way of Portland, Boston, New York City, and Amsterdam. Since moving to the Northwest, she has pressed apples, ...",Co-Founder,Neighborhood Start Fund,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/DiAnnEisnor,,3,
Xochi Birch,"Xochi Birch was born in Los Angeles and raised in a small town outside of San Francisco, California. She met her husband, Michael Birch, whi...",Co-Founder,Peak Steal Buildings,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/xb,,3,
Alexandra Wilkis Wilson,Alexandra Wilkis Wilson is the Co - Founder & Head of Strategic Alliances of Gilt Groupe. With over twelve years of international experie...,Venture Partner,Montage Ventures,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",http://twitter.com/GiltAlexandra,,2,
Mellody Hobson,"Mellody Hobson is president of Ariel Investments. Headquartered in Chicago, the firm offers six no-load mutual funds for individual investor...",President,Ariel Investments,Seed,Individual/Angel,"Greater Chicago Area, Great Lakes, Midwestern US",,,1,
Fern Mandelbaum,"Fern Mandelbaum, is an entrepreneur, coach, lecturer and investor. She is a Managing Partner at Vista Venture Partners.  Her portfolio inclu...",Co-Founder and Partner,Vista Venture Partners,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",,,4,
Lori Greeley,Lori Greeley - CEO @ Serena & Lily,CEO,Serena & Lily,Seed,Individual/Angel,"East Coast, Southern US",,,1,
Susan Kimberlin,"Susan is an angel investor and startup advisor in San Francisco, where she has a front-row seat to an amazing variety of new ventures. She i...",Venture Partner,Backstage Capital,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/SusanSearchPro,,5,
Sue Decker,"Sue Decker is principal of Deck3 Ventures LLC. She serves on the boards of directors of Berkshire Hathaway, Intel Corporation, and Costco Wh...",Principal,Deck3 Ventures LLC,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/suedecker,,3,1
Linda Rottenberg,"Named one of “America’s Best Leaders” by U.S. News and one of TIME’s 100 “Innovators for the 21st century,” Linda Rottenberg is considered a...",CEO & Co-Founder,Endeavor,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",http://twitter.com/lindarottenberg,http://www.lindarottenberg.com,1,
Swati Mylavarapu,Swati Mylavarapu joined KPCB in 2015 and focuses on venture-stage companies developing digital health and consumer technologies and business...,Managing Partner,Incite.org,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",,,1,
Heather Brunner,"Heather comes to WP Engine, having spent the last several years as COO for Bazaarvoice, where she held a crucial role in bringing the compan...",Chairwoman and CEO,WP Engine,Seed,Individual/Angel,Southern US,http://twitter.com/heatherjbrunner,,1,
Loren Straub,"Loren is a Principal at Bowery Capital based in New York. Prior to joining Bowery Capital, Loren was an Associate in the Investment Banking ...",Principal,Bowery Capital,Seed,"Investment Partner, Individual/Angel","Greater New York Area, East Coast, Northeastern US",,,1,
Lorna Borenstein,"Lorna Borenstein is the Founder & CEO of Grokker, the ""Be a Better You,"" video network. Grokker makes it easy to get better at what you love...",Founder & CEO,Grokker,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/Lborenstein,http://grokker.com,1,
Christina Brodbeck,"Prior to Rivet Ventures, Christina A. Brodbeck was a founding team member at YouTube, where she was the company's first UI Designer. While a...",Founding Partner,Rivet Ventures,Seed,"Investment Partner, Individual/Angel","Greater Los Angeles Area, West Coast, Western US",http://twitter.com/jellyfishbloom,,9,4
Jennifer Johnson,"Jennifer M. Johnson is an Executive Vice President of Operations and Technology, Chief Information Officer, Chief Operating Officer, Chief I...",President and Chief Operating Officer,Franklin Templeton Investments,Seed,Individual/Angel,"West Coast, Western US",,,1,
Maria Thomas,Maria Thomas is a consumer Internet pioneer and entrepreneurial business builder.  She is also a well-respected member of the Board of Direc...,,,Seed,Individual/Angel,"Washington DC Metro Area, Southern US",http://twitter.com/pesmou,http://www.mariathomas.org,7,1
Heather Redman,"Heather Redman is Co-Founder and Managing Partner of Flying Fish Partners, a new venture firm funding tech companies in the Pacific Northwes...",Co-Founder & Managing Partner,Flying Fish Partners,Seed,"Investment Partner, Individual/Angel","Greater Seattle Area, West Coast, Western US",https://twitter.com/heatherredman,https://www.flyingfish.vc/,9,2
Christine Aylward,Christine has worked at the forefront of healthcare innovation since the start of her innovation. She has a proven track record of investing...,,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/CAylward,,1,
Kim Perell,"Kim Perell is an award-winning entrepreneur, executive and angel investor with two decades of experience serving as a CEO and President in t...",President & CEO,Amobee,Seed,"Investment Partner, Individual/Angel","Greater San Diego Area, West Coast, Western US",https://twitter.com/kimperell,https://www.kimperell.com/,2,
Nanea Reeves,"As CEO of TRIPP, Nanea Reeves brings over 15 years experience in digital distribution, video game technologies and mobile application develo...",CEO and Co-Founder,TRIPP,Seed,Individual/Angel,"West Coast, Western US",http://twitter.com/nanea,,1,
Gena Vazquez,"Gena's background is primarily in Technology (Hardware Manufacturing/Engineering), Entertainment, Film Production and Venture Capital.",Co-Founder,Fundpire,"Early Stage Venture, Late Stage Venture, Seed",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/LegacyofGena,https://fundpire.com/,2,
Alexsis de Raadt-St. James,"Alexsis is Managing Partner of Merian Ventures, an early-stage venture firm focused on investing in women founded and co-founded companies i...",Managing Partner,Merian Ventures,"Early Stage Venture, Seed",Individual/Angel,"San Francisco Bay Area, West Coast, Western US",https://twitter.com/merianventures?lang=en,https://www.merianventures.com,7,1
Carmen Chang,"Carmen Chang joined NEA in 2012 and serves as Partner and Managing Director, Asia (Ex-India). In this role, she is focused on building NEA's...",Head of Asia,New Enterprise Associates,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",,,1,
Hope Taitz,Hope Taitz - Managing Partner @ ELY Capital,Managing Partner,ELY Capital,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",,,1,
Tushara Canekeratne,Tushara Canekeratne is Founder at Virtusa.,Founder,Virtusa,Seed,Individual/Angel,"East Coast, New England, Northeastern US",,,1,
Sharon Knight,Sharon is currently an active advisor to and independent investor in several early stage companies.  She has a passion for increasing pat...,,,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/saksfca,,17,6
Wayee Chu,"Wayee Chu is a Partner at Reach Capital, a venture fund focused on early stage education technology start-ups. Prior to Reach, Wayee was the...",General Partner,Reach Capital,Seed,"Investment Partner, Individual/Angel","San Francisco Bay Area, West Coast, Western US",https://twitter.com/wayeechu,,3,
Andrea Zurek,"Andrea Zurek, as an early ex-Googler, is one of the Original Founders and Managing Directors of XG Ventures. She has been named one of the t...",Founding Partner,XG Ventures,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/andreazurek,,4,2
Elizabeth Iorns,"Elizabeth Jane Iorns is a New Zealand scientist, entrepreneur and researcher, and the founder and CEO of Science Exchange, a Silicon Valley ...",Co-Founder & Chief Executive Officer,Science Exchange,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",http://twitter.com/elizabethiorns,,5,
TeRra Han,"Han Terra is the founder of TeRra (terraideal.com), software developer and investor. Ms. Han is a musician, well known for a genius composer...",,,"Grant, Initial Coin Offering, Private Equity, Seed",Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",https://twitter.com/terrahan_,https://www.terrahan.com,9,
Diane Tang,Diane Tang - Fellow @ Google,Fellow,Google,Seed,Individual/Angel,"San Francisco Bay Area, Silicon Valley, West Coast",,,3,1
Marcy Simon,Marcy Simon is Board of Advisors at Talenthouse.,Founder,The Social Project,Seed,Individual/Angel,"Greater New York Area, East Coast, Northeastern US",https://twitter.com/marcy,,3,
Alison Pincus,"Alison Pincus is co-founder of One Kings Lane, and the General Manager and Chief Hunter of the company's new peer-to-peer marketplace, Hunte...",Co-founder,One Kings Lane,Seed,Individual/Angel,"San Francisco Bay Area, West Coast, Western US",http://twitter.com/AliGPincus,,4,2
