Name,Website,Office/s,Stage/s,Portfolio,Market/s,Firm LinkedIn,Firm Twitter,Contact Downloads
First Momentum,https://www.firstmomentum.vc,Karlsruhe (Germany),"Pre-Seed, Seed",https://www.firstmomentum.vc/#investments,"B2B Deep Tech, Artificial Intelligence, Machine Learning, AI/ML (FinTech, MarTech, HRTech, Marketplace, Quantum Computing, Industrial Tech, Sustainability)",https://www.linkedin.com/company/firstmomentum/,,https://payhip.com/projectstartups
First Round Capital,https://firstround.com,"San Francisco (United States), New York (United States), Philadelphia (United States)","Pre-Seed, Seed, Series A",https://firstround.com/companies/,"Consumer, FinTech, Healthcare, Digital HealthTech, Hardware, Enterprise, SaaS/Software, Web 3, Blockchain",https://www.linkedin.com/company/first-round-capital/,http://twitter.com/firstround,https://payhip.com/projectstartups
First Star Ventures,https://www.firststar.vc,Cambridge (United States),"Pre-Seed, Seed",,"Big Data, AI, ML, Data Analytics, Computational BioTech, Connected Sensors, AR/VR, Blockchain, Crypto, Robotics, Enterprise Software, Business Intelligence, Cloud Infrastructure, Wireless, Logistics, Supply Chain, Wearables",https://www.linkedin.com/company/first-star-ventures/,https://twitter.com/firststarvc,https://payhip.com/projectstartups
FirstMark Capital,https://firstmarkcap.com,New York (United States),"Pre-Seed, Seed, Series A, Series B",https://firstmarkcap.com/portfolio/,"Consumer Tech, Enterprise Tech, Frontier Tech",https://www.linkedin.com/company/firstmark-capital,https://twitter.com/FirstMarkCap,https://payhip.com/projectstartups
Flint Capital,https://flintcap.com,Boston (United States),"Pre-Seed, Seed, Series A",,"Enterprise Software, Cyber Security, Financial Technologies, Artificial Intelligence, Digital Health, Health Technologies, Automation, Consumer Mobile Applications, Marketplaces, SaaS, Marketing Tech",https://www.linkedin.com/company/flintcapital/,https://twitter.com/flintvc,https://payhip.com/projectstartups
foothill Ventures,https://www.foothill.ventures,Los Altos (United States),"Pre-Seed, Seed, Series A",https://www.foothill.ventures/portfolio,"Software, Life Science, DeepTech, B2B",https://www.linkedin.com/company/foothillventures/,https://twitter.com/FoothillVenture,https://payhip.com/projectstartups
Forward Partners,https://forwardpartners.com,London (United Kingdom),"Pre-Seed, Seed, Series A",https://forwardpartners.com/portfolio,"Applied AI, Marketplaces, E-Commerce",https://www.linkedin.com/company/forward-partners-uk/,https://twitter.com/ForwardPrt,https://payhip.com/projectstartups
Forward Venture Capital,https://www.forwardvc.com,The Hague (Netherlands),"Pre-Seed, Seed, Series A",https://www.forwardvc.com/#Portfolio,"E-commerce, FoodTech, Consumer Brands, D2C, SaaS, FinTech, Mobile & Online Payments, Enterprise Software, Cloud, Data Analytics, Dev Tools, AdTech, PropTech, Cyber Security",https://www.linkedin.com/company/forwardventurecapital/,https://twitter.com/ForwardVc,https://payhip.com/projectstartups
Founders Fund,https://foundersfund.com,San Francisco (United States),"Pre-Seed, Seed, Series A, Series B",https://foundersfund.com/portfolio/,"Aerospace, Advanced Machines and Intelligence, Energy, Biotechnology, Consumer Internet, Transportation, Analytics, Software",https://www.linkedin.com/company/the-founders-fund/,https://twitter.com/foundersfund,https://payhip.com/projectstartups
Frontline Ventures,https://www.frontline.vc,"London (United Kingdom), Dublin (Ireland), San Francisco (United States)","Pre-Seed, Seed",https://www.frontline.vc/companies/,Enterprise Software,https://www.linkedin.com/company/frontline-ventures/,https://twitter.com/Frontlinevc,https://payhip.com/projectstartups
Fuel Capital,https://www.fuelcapital.com,San Mateo (United States),"Pre-Seed, Seed, Series A",https://www.fuelcapital.com/portfolio,"Developer Tools, Enterprise Software, Consumer Marketplaces",https://www.linkedin.com/company/fuel-capital/,https://twitter.com/fuelcapital,https://payhip.com/projectstartups
FUSE,https://fuse.vc,Bellevue - WA (United States),"Pre-Seed, Seed, Series A",https://fuse.vc/portfolio,"Software, B2B, Enterprise, SaaS (FinTech, Digital Health, MarTech, TravelTech, FoodTech, Event Tech, Real Estate, Media)",https://www.linkedin.com/company/fusevc/,https://twitter.com/fuse_vc,https://payhip.com/projectstartups
Fusion VC,https://www.fusion-vc.com,"Santa Monica (United States), Tel Aviv (Israel)","Pre-Seed, Seed",https://www.fusion-vc.com/portfolio,"AI/ML, AR/VR, Climate & Energy, Consumer, Digital Health & Wellness, E-commerce & CPG, EdTech, Enterprise, FinTech & InsurTech, Food & AgTech, Future of Work & HR, Gaming & eSports, Healthcare & Life Science, IoT & Electronics, IT, Cloud & Communication, MarTech & AdTech, Marketplace, Mobile, Mobility & Automotive, Real Estate & PropTech, SaaS, Security, Supply Chain & Logistics, LegalTech, Crypto & Web3, Sales & CRM",https://www.linkedin.com/company/fusion-vc/,,https://payhip.com/projectstartups
Gaingels,https://gaingels.com,"Burlington, Vermont (United States)","Pre-Seed, Seed, Series A, Series B, Series C",https://gaingels.com/#homePortfolio,"AI, Big Data, ML & Deep Tech, Cannabis & Psychedelics, Climate & Green Tech, Consumer Products, Consumer Software & Services, Crypto, Blockchain & NFT, Diversity, Equity & Inclusion, Education & Learning, Emerging Markets, Energy & Industrial, Enterprise IT & Software, Future of Food, FinTech, HealthTech & Fitness, Media, Gaming & Entertainment, Pharma & Biotech, PropTech & Real Estate, Space, Aviation & Transportation, B2B, SaaS",https://www.linkedin.com/company/gaingels/,https://mobile.twitter.com/gaingelsvc,https://payhip.com/projectstartups
Gapminder Ventures,https://gapminder.vc,Amsterdam (Netherlands),"Pre-Seed, Seed, Series A",https://gapminder.vc/our-portfolio/,"IT Software & Services, SaaS, Machine Learning/ML, Deep Learning, Artificial Intelligence/AI, Advanced Analytics, Predictive Marketing, Cyber Security, Digital Transformation, Health Care IT & MedTech, FinTech",https://www.linkedin.com/company/18336571/,https://twitter.com/gapmindervc,https://payhip.com/projectstartups
Geekdom Fund,https://geekdomfund.com,San Antonio (United States),"Pre-Seed, Seed",https://geekdomfund.com/investments/,"Enterprise Software, Disruptive Technologies",https://www.linkedin.com/company/geekdomfund/,https://twitter.com/geekdomfund,https://payhip.com/projectstartups
GEMBA Capital,https://gembacapital.in,Bengaluru (India),"Pre-Seed, Seed, Series A",https://gembacapital.in/partner.php,"Consumer Tech (FinTech, AgTech, EdTech, HealthTech, D2C Brands), Enterprise Software (Horizontal, Vertical, Marketplaces)",https://www.linkedin.com/company/gemba-capital/,https://twitter.com/GembaCapital,https://payhip.com/projectstartups
Glasswing Ventures,https://glasswing.vc,Boston (United States),"Pre-Seed, Seed, Series A",https://glasswing.vc/our-companies/,"AI & Frontier Tech (Intelligent Enterprise, Data Analytics, Business Intelligence, Enterprise Software, Cloud, Cyber Security, MarTech)",https://www.linkedin.com/company/glasswing-ventures,https://twitter.com/glasswingvc,https://payhip.com/projectstartups
Golden Gate Ventures,https://www.goldengate.vc,"Duxton Road (Singapore), Jakarta (Indonesia)","Pre-Seed, Seed, Series A",https://www.goldengate.vc/portfolio,"Services, Education, E-commerce, Payments, Marketplaces, Mobile, FinTech, SaaS, Entertainment, Fashion, Gaming, Social, Travel, Media",https://www.linkedin.com/company/goldengateventures,https://twitter.com/goldengatevc,https://payhip.com/projectstartups
Good Capital,https://goodcapital.vc,Delhi (India),"Pre-Seed, Seed, Series A",https://goodcapital.vc/portfolio/,Flexible (Tech),https://www.linkedin.com/company/good-capital/,https://twitter.com/goodcapitalvc,https://payhip.com/projectstartups
Grand Ventures,https://grandvcp.com,Grand Rapids (United States),"Pre-Seed, Seed, Series A",https://grandvcp.com/Portfolio,"Advanced Manufacturing, Agriculture and Food, Transportation and Mobility, and other Midwest industries",https://www.linkedin.com/company/grand-ventures-fund-i/,https://twitter.com/grandvcp,https://payhip.com/projectstartups
Greenhouse Capital,https://greenhouse.capital,Lagos (Nigeria),"Pre-Seed, Seed, Series A",https://greenhouse.capital/portfolio/,"FinTech, Financial Services",https://www.linkedin.com/company/greenhouse-capital-africa/,https://twitter.com/GreenHouseCap_,https://payhip.com/projectstartups
growX Ventures,http://www.growxventures.com,New Delhi (India),"Pre-Seed, Seed, Series A",,"Enterprise (Software, AI, ML, HRTech, SpaceTech, IoT, Electric Vehicles, Robotics, HealthTech, FinTech, Digital Health)",https://www.linkedin.com/company/growx-ventures/,https://twitter.com/growxventures,https://payhip.com/projectstartups
Haatch Ventures,https://haatch.com,Stamford (United Kingdom),"Pre-Seed, Seed, Post-Seed, Series A",https://haatch.com/portfolio/,"Consumer Tech, Consumer SaaS, Consumer Services, FoodTech, Social Media, TravelTech, Enterprise Software, AR, MR, AI, Blockchain, Infrastructure, Smart Devices, Digital Media, Video, Marketplaces",https://www.linkedin.com/company/haatch,https://twitter.com/haatch,https://payhip.com/projectstartups
Halogen Ventures,https://halogenvc.com,Los Angeles (United States),"Pre-Seed, Seed, Series A",https://halogenvc.com/portfolio,"Female Founders & Consumer Tech (Fashion, Interior Design, Media + Social Media, Parenting Technology, Smart Cities, Beauty + Wellness, How We Eat, How We Shop, How We Travel, How We Work)",https://www.linkedin.com/company/halogen-ventures/,https://twitter.com/halogenvc,https://payhip.com/projectstartups
Hardware Club,https://www.hcvc.co,"San Francisco (United States), Paris (France)","Pre-Seed, Seed, Series A",https://www.hcvc.co/pages/portfolio,"Hardware (ML, Computer Vision, Enterprise, Consumer, Robotics, Health, Aerospace, Supply Chain, Infrastructure, Mobility)",https://www.linkedin.com/company/hardware-club/,https://twitter.com/hardware_club,https://payhip.com/projectstartups
Harpoon Ventures,https://harpoon.vc/,San Diego (United States),"Pre-Seed, Seed, Series A",https://harpoon.vc/portfolio/,"AI/Artificial Intelligence, AR/Augmented Reality, Deep Learning, Enterprise Software, Cyber Security, Hardware, Computing, Semiconductors, Chemicals, BioTech, Biopharma, Satellites, SpaceTech, Aerospace, Drones, Additive Manufacturing",https://www.linkedin.com/company/harpoon-ventures-portfolio/,,https://payhip.com/projectstartups
Hashed Ventures,https://www.hashed.com,"Seoul (South Korea), San Francisco (United States)","Pre-Seed, Seed, Series A",https://www.hashed.com/portfolio,"Decentralized Future, Protocol Economy Network Building, Blockchain, Cryptocurrency, Digital Assets, FinTech",https://www.linkedin.com/company/hashedfund/,https://twitter.com/hashed_official,https://payhip.com/projectstartups
Hemisphere Ventures,https://www.hemisphere.com,Seattle (United States),"Pre-Seed, Seed",https://www.hemisphere.com/companies.html,"Software, AdTech, AI, BioTech, EdTech, FinTech, HealthTech, IoT, Marketplaces, Robotics, Travel, Drones, Space, Enterprise, Consumer",https://www.linkedin.com/company/hemisphere-ventures/,,https://payhip.com/projectstartups
henQ,https://henq.vc,Amsterdam (Netherlands),"Pre-Seed, Seed, Series A",,"Enterprise Software (AI, ML, Data Analytics, Business Intelligence, Deep Learning, Market Research, EdTech, LegalTech, HRTech, Construction, Manufacturing, PropTech, Retail, E-commerce, MarTech, AdTech, Dev Tools, EnergyTech, MedTech, FinTech, Digital Media, Marketplaces)",https://www.linkedin.com/company/henq-invest/,https://twitter.com/henqinvest,https://payhip.com/projectstartups
Hustle Fund,https://www.hustlefund.vc,"San Carlos (United States), Singapore","Pre-Seed, Seed",https://www.hustlefund.vc/founders,"Flexible (Enterprise, FinTech, Marketplaces, Digital Health)",https://www.linkedin.com/company/hustle-fund/,https://twitter.com/HustleFundVC,https://payhip.com/projectstartups
Icebreaker.VC,https://www.icebreaker.vc,"Helsinki (Finland), Stockholm (Sweden), Tallinn (Estonia)","Pre-Seed, Seed, Series A",https://airtable.com/shrSaCszlW1Z4UVfw/tblYEgViHK0mRBlE1,"AI, ML, NLP, Deep Learning, Speech Recognition, Big Data, Data Analytics, IoT, Computer Vision, AR, VR, Enterprise Software, HealthTech, Cyber Security, FinTech, Crypto, Real Estate, PropTech, Dev Tools, Marketing, MarTech, Hardware, TravelTech",https://www.linkedin.com/company/icebreaker-vc/,https://twitter.com/icebreakervc,https://payhip.com/projectstartups
ID Ventures,https://idventures.com,Detroit (United States),"Pre-Seed, Seed, Series A",https://idventures.com/portfolio/,"Advanced Materials & Manufacturing, Medical Devices, MedTech, Life Sciences, BioTech, Biopharma, HealthTech, Digital Health, Drones, CPG, Consumer Brands, Retail, Enterprise Software, Cloud Computing, AdTech, MarTech, FoodTech, AgTech, AI, Data Analytics, Data Science, Fashion, AR, MR, Logistics, Supply Chain, FinTech, InsurTech, E-commerce, AutoTech, HRTech, EdTech, Energy, Mobility",https://www.linkedin.com/company/invest-detroit-ventures/,https://twitter.com/investdetroitVC,https://payhip.com/projectstartups
Incubate Fund India,https://www.incubatefund.in,Bangalore (India),"Pre-Seed, Seed",https://www.incubatefund.in/portfolio/,"Mobility, Enterprise Software, Gaming, eSports, TravelTech, HRTech, PropTech, EdTech, FinTech, InsurTech, HealthTech, Marketplaces",https://www.linkedin.com/company/incubate-fund-india/,,https://payhip.com/projectstartups
Inflection Point Ventures,https://ipventures.in,Gurugram (India),"Pre-Seed, Seed, Series A",https://ipventures.in/portfolio/,"Consumer, E-Commerce, EdTech, F&B, FinTech, Gaming & Social, HealthTech, HRTech, Logistics, Mobility, SaaS/Software, Sports & Fitness, Virtual Assistance",https://www.linkedin.com/company/ipventures/,https://twitter.com/ipventures_in,https://payhip.com/projectstartups
Ingressive Capital,https://ingressivecapital.com,Lagos (Nigeria),"Pre-Seed, Seed, Series A",https://ingressivecapital.com/portcos,"Consumer Tech, Consumer Internet, FinTech, Mobility, Marketplaces, AI, Data Analytics, Enterprise Software, Infrastructure Technology, HealthTech, Digital Health, MarTech, Telecom, AgTech, Supply Chain",https://www.linkedin.com/company/ingressive-capital/,https://twitter.com/IngressiveCap,https://payhip.com/projectstartups
Innospark Ventures,https://innospark.vc/,Boston (United States),"Pre-Seed, Seed, Series A, Series B",https://innospark.vc/our-portfolio/,"AI (Business Services, Health Care & Life Sciences, Education, Cyber Security)",https://www.linkedin.com/company/innosparkventures,https://twitter.com/innosparkv,https://payhip.com/projectstartups
Island Capital Partners,https://peislandcapitalpartners.com,Charlottetown (Canada),"Pre-Seed, Seed",,"Enterprise Software, EnergyTech, AgTech, Medical Devices, GovTech, SalesTech, Environmental, Sustainability",https://ca.linkedin.com/company/islandcapitalpartners,https://twitter.com/island_capital,https://payhip.com/projectstartups
January Ventures,https://www.january.ventures/,"Boston (United States), London (United Kingdom)","Pre-Seed, Seed",,"Female: Tech/Tech-Enabled (Future Of Work, Future Of Health Care, Future Of Commerce)",https://www.linkedin.com/company/january-ventures/,https://twitter.com/January_VC,https://payhip.com/projectstartups
K9 Ventures,https://www.k9ventures.com,Palo Alto (United States),Pre-Seed,https://www.k9ventures.com/startups/,"Tech (Technical Founders, New Technology/New Market, Direct Revenue, Hyper-local Team)",https://www.linkedin.com/company/k9-ventures/,https://twitter.com/k9ventures,https://payhip.com/projectstartups
Kae Capital,https://kae-capital.com,"Mumbai (India), Bengaluru (India)","Pre-Seed, Seed, Series A",https://kae-capital.com/investments/,Flexible (Tech),https://www.linkedin.com/company/kaecapital/,https://twitter.com/kaecapital,https://payhip.com/projectstartups
Kapor Capital,https://www.kaporcapital.com,Oakland (United States),"Pre-Seed, Seed",https://www.kaporcapital.com/portfolio/,"Education, Energy, Environment, Finance, Food, Future City, Health, Justice, Media, People Operations Tech, ResisTech, Work",https://www.linkedin.com/company/kapor-capital,https://twitter.com/kaporcapital,https://payhip.com/projectstartups
Kima Ventures,https://www.kimaventures.com,Paris (France),"Pre-Seed, Seed, Series A",https://www.kimaventures.com/portfolio,"Enterprise Software, Design, EdTech, Energy, FinTech, Hardware, Robotics, Logistics/Supply Chain, Media, SaaS, AdTech, Big Data, E-commerce, Retail, Entertainment, Gaming, Cyber Security, Social, TravelTech, Health, Bitcoin, FoodTech, AgTech, Lifestyle, CleanTech, Marketplaces",https://www.linkedin.com/company/kima-ventures/,https://twitter.com/kimaventures,https://payhip.com/projectstartups
Kindred Capital,https://www.kindredcapital.vc,London (United Kingdom),"Pre-Seed, Seed",,"Enterprise Software, FinTech, MarTech, HealthTech, Food, EdTech, Legal, Robotics, Wellness, Beauty, Recruitment, Transportation",https://www.linkedin.com/company/kindred-capital-vc/,https://twitter.com/kindred_vc,https://payhip.com/projectstartups
Kurma Partners,https://www.kurmapartners.com/en,"Paris (France), Munich (Germany)","Pre-Seed, Seed, Series A, Series B",https://www.kurmapartners.com/en/portfolio,"BioTech, Life Sciences, Therapeutics, Drug Development, Rare Diseases, Digital Health, Diagnostics, MedTech",https://www.linkedin.com/company/kurma-life-sciences-partners,https://twitter.com/kurmapartners,https://payhip.com/projectstartups
Lakehouse Ventures,https://lakehouse.vc,New York (United States),"Pre-Seed, Seed, Series A",https://lakehouse.vc/#portfolio,"Consumer Brands, Consumer Goods, Consumer Products, Personal Care, D2C, E-commerce, Beverages, Health, Nutrition, Pets, Sustainability, Consumer Tech, FinTech, EdTech",https://www.linkedin.com/company/lakehouse-ventures/,,https://payhip.com/projectstartups
LDV Capital,https://www.ldv.co,New York (United States),"Pre-Seed, Seed",https://www.ldv.co/capital,"Visual Technologies (Computer Vision, ML, AI to analyze visual data)",https://www.linkedin.com/company/ldv-capital,https://twitter.com/ldvcapital,https://payhip.com/projectstartups
Lighthouse Ventures,https://lhv.vc,Prague (Czech Republic),"Pre-Seed, Seed",https://lhv.vc/portfolio/,"Enterprise Software, AI, ML, Cyber Security, PropTech, Manufacturing, InsurTech, FinTech, MarTech, Logistics, D2C, Retail, MedTech, Medical Devices, Marketplaces",https://www.linkedin.com/company/lighthouse-ventures-prague,https://twitter.com/LHV_VC,https://payhip.com/projectstartups
LionBird,https://www.lionbird.com,"Chicago (United States), Tel Aviv (Israel)","Pre-Seed, Seed, Series A",https://www.lionbird.com/companies/,"Health Care (Blockchain for Trust, Health Monitoring, Diagnostics, Telehealth, Digital-Physical Bridge, Population Health, HealthFinTech, Wellness, Digital Health)",https://www.linkedin.com/company/lionbird/,https://twitter.com/lionbirdvc,https://payhip.com/projectstartups
Lofty Ventures,https://loftyventures.com,Chicago (United States),"Pre-Seed, Seed, Series A",https://loftyventures.com/portfolio/,"E-commerce, Web Apps, Mobile Apps, Enterprise Software, Consumer Products",https://www.linkedin.com/company/loftyventures/,https://twitter.com/loftyventures,https://payhip.com/projectstartups
London Venture Partners,https://londonvp.com,London (United Kingdom),"Angel, Pre-Seed, Seed",https://londonvp.com/our-portfolio/,"Gaming/Game (Mobile Games, Online Games, Social Games, Gaming Technology, Gaming Services)",https://www.linkedin.com/company/london-venture-partners/,https://twitter.com/londonvp,https://payhip.com/projectstartups
Loup,https://loupfunds.com,Minneapolis (United States),"Pre-Seed, Seed, Series A",https://loupfunds.com/portfolio/,"AI, AR, Autonomous Vehicles, Blockchain, Crypto, Gaming, NeuroTech, Retail, Robotics, VR, HealthTech, Digital Health, Logistics, Enterprise Software, MarTech, FinTech, PropTech, TravelTech, Marketplaces",https://www.linkedin.com/company/loup-ventures/,https://twitter.com/loupventures,https://payhip.com/projectstartups
Loyal VC,https://www.loyal.vc,Toronto (Canada),"Pre-Seed, Seed",https://www.loyal.vc/loyal-portfolio/companies,"Consumer Internet, FinTech, EdTech, FoodTech, E-commerce, Enterprise Software/SaaS, MarTech, Cyber Security, Media, Gaming",https://www.linkedin.com/company/loyal-vc/,https://twitter.com/loyalvc,https://payhip.com/projectstartups
Ludlow Ventures,https://ludlowventures.com,Detroit (United States),"Pre-Seed, Seed, Series A",https://ludlowventures.com/#companies,"Mobile, Software, Internet, E-commerce, Fashion, Marketplaces, eSports",https://www.linkedin.com/company/ludlow-ventures/,https://twitter.com/ludlowventures,https://payhip.com/projectstartups
M25,https://m25vc.com,"Chicago (United States), Indianapolis (United States)","Pre-Seed, Seed, Series A",https://m25vc.com/portfolio,"Big Data Analytics & IoT, Consumer Apps, E-commerce, EdTech, GovTech & LegalTech, Enterprise/B2B, SaaS/Software, Media & Entertainment & Sports, FinTech & Banking, Food & Beverage/FoodTech, Digital Health/HealthTech Hardware, MarTech/AdTech, Real Estate/PropTech, Transportation & Logistics",https://www.linkedin.com/company/m25-vc/,https://twitter.com/m25vc,https://payhip.com/projectstartups
MaC Venture Capital,https://macventurecapital.com,"Los Angeles (United States), Palo Alto (United States)","Pre-Seed, Seed",https://macventurecapital.com/mac-portfolio/,"Consumer Internet, FinTech, EdTech, Digital Health, Digital Media, E-commerce, Logistics/Infrastructure, Mobile, Services, Regulatory, Productivity, SaaS/Software, B2B/Enterprise",https://www.linkedin.com/company/mac-venture-capital,https://twitter.com/MaCVentureCap,https://payhip.com/projectstartups
Magic Fund,https://www.magic.fund,"Los Angeles (United States), London (United Kingdom), Lagos (Nigeria), Jakarta (Indonesia)","Pre-Seed, Seed",,"FinTech, Health Care, Digital Health, Women's Health, MarTech, Hospitality Tech, RetailTech, Logistics, Dev Tools, Blockchain, Crypto, SaaS, B2B, Software, Consumer Tech",https://www.linkedin.com/company/themagicfund/,,https://payhip.com/projectstartups
Matchstick Ventures,https://www.matchstick.vc,"Minneapolis (United States), Boulder (United States)","Pre-Seed, Seed, Series A",https://www.matchstick.vc/companies,"Consumer Internet, FinTech, E-commerce, Digital Health, SaaS/Software, B2B/Enterprise, AI & Data Analytics, Cyber Security",https://www.linkedin.com/company/matchstick-ventures/,https://twitter.com/matchstickvc,https://payhip.com/projectstartups
Mendoza Ventures,https://mendoza-ventures.com,Boston (United States),"Pre-Seed, Seed, Series A",https://mendoza-ventures.com/#portfolio,"AI, FinTech, Cyber Security, Blockchain, SaaS, E-commerce",https://www.linkedin.com/company/mendoza-ventures/,,https://payhip.com/projectstartups
Metaplanet Holdings,https://metaplanet.com,Tallinn (Estonia),"Pre-Seed, Seed, Series A, Series B",https://metaplanet.com/portfolio,"Artificial Intelligence, Biotechnology, Healthcare, Crypto, Transportation",https://www.linkedin.com/company/metaplanet/,,https://payhip.com/projectstartups
Modus Capital,https://modus.vc,"Cairo (Egypt), New York (United States), Dubai (United Arab Emirates), Abu Dhabi (United Arab Emirates)","Pre-Seed, Seed, Series A",https://modus.vc/portfolio/,"Social Impact (SaaS/Software, Enterprise/B2B, Media, Consumer Internet, FinTech, EdTech, Digital Health, MedTech, E-commerce, Consumer Products)",https://www.linkedin.com/company/modus-capital/,https://twitter.com/moduscapital,https://payhip.com/projectstartups
Moment Ventures,https://www.momentventures.com,Palo Alto (United States),"Pre-Seed, Seed, Series A",https://www.momentventures.com/portfolio/,"Future of Work (Business at the Speed of Software/B2B Software, Future of Workers/Collaboration, Masters of the Machines/AI & Data Analytics)",https://www.linkedin.com/company/moment-ventures/,https://twitter.com/momentvc,https://payhip.com/projectstartups
Montage Ventures,https://montageventures.com,Palo Alto (United States),"Pre-Seed, Seed, Series A",,"FinTech, Consumer Internet/Consumer Brands, E-commerce, Digital Health/Health Devices",https://www.linkedin.com/company/montage-ventures/,https://twitter.com/montageventures,https://payhip.com/projectstartups
Moonfire Ventures,https://www.moonfire.com,London (United Kingdom),"Pre-Seed, Seed",https://www.moonfire.com/portfolio/,"Enterprise Software, FinTech, Entertainment, Digital Media, AR, VR, Gaming",https://www.linkedin.com/company/moonfire/,,https://payhip.com/projectstartups
Mucker Capital,https://www.mucker.com,Santa Monica (United States),"Pre-Seed, Seed, Series A",https://www.mucker.com/companies/,"Consumer Internet, FinTech, E-commerce, EdTech, Digital Health/HealthTech, Digital Media/Gaming, Enterprise/B2B, SaaS/Software, MarTech, Cyber Security, HRTech, PropTech",https://www.linkedin.com/company/mucker,https://twitter.com/mucker,https://payhip.com/projectstartups
N49P Ventures,https://www.n49p.com,Toronto (Canada),"Pre-Seed, Seed",https://www.n49p.com/portfolio,"Software, SaaS, B2B, Enterprise, FinTech, PropTech, HealthTech, EdTech, Blockchain, AI/ML, Cyber Security, HRTech, Consumer Tech",https://www.linkedin.com/company/n49p-ventures/,,https://payhip.com/projectstartups
Nama Ventures,https://www.namaventures.com,Riyadh (Saudi Arabia),"Pre-Seed, Seed, Series A",,"Consumer Internet, Marketplace, E-commerce, FinTech, EdTech, Digital Health, Digital Media, TravelTech, Enterprise/B2B, Software/SaaS, MarTech/AdTech, Cyber Security, Dev Tools, HRTech, RetailTech, Hardware/Robotics, Construction, Transportation, Energy",https://www.linkedin.com/company/namaventures/,https://twitter.com/namaventures,https://payhip.com/projectstartups
Nazca,https://nazca.vc,Mexico City (Mexico),"Pre-Seed, Seed, Series A",https://nazca.vc/portfolio,"BioTech, Commerce, Data, EdTech, FinTech, FoodTech, HealthTech, InsurTech, Logistics, PropTech, SpaceTech, B2B, SaaS, Software, Consumer Tech",https://www.linkedin.com/company/nazcavc/,,https://payhip.com/projectstartups
New Nordic Ventures,https://newnordic.vc,Riga (Latvia),"Pre-Seed, Seed",https://newnordic.vc/#portfolio,"B2B Tech, Enterprise, AI/ML, AR/VR, AgTech, Industrial Tech, IoT, DeepTech",https://www.linkedin.com/company/new-nordic-ventures/,https://www.facebook.com/profile.php,https://payhip.com/projectstartups
New Stack Ventures,https://www.newstack.com,Chicago (United States),"Pre-Seed, Seed",,"DeepTech, HardTech, Internet of Things, Smart Hardware, Connected Devices, Artificial Intelligence, Blockchain, Marketplaces, Platforms, Enterprise/B2B Software, SaaS for legacy industries",,,https://payhip.com/projectstartups
New York Venture Partners,http://www.nyvp.com,New York (United States),"Pre-Seed, Seed",,"Consumer Internet, E-commerce, Digital Media/Social Networks, Hardware/Robotics, Enterprise/B2B, SaaS/Software, Developer Tools",https://www.linkedin.com/company/new-york-venture-parters-nyvp-/,,https://payhip.com/projectstartups
Newfund Capital,https://newfundcap.com,"Paris (France), San Francisco (United States)","Pre-Seed, Seed, Series A, Series B",https://newfundcap.com/portfolio,"Enterprise Software, Infrastructure & Networks, Retail, RetailTech, E-commerce, Enterprise, Consumer, Hardware, Energy, CleanTech, FinTech, HealthTech, Marketplaces, EdTech, Construction & Real Estate, FoodTech, HRTech, AdTech, Hospitality, TravelTech, Gaming, Entertainment, Automotive, IoT, NanoTech, Blockchain, Crypto",https://www.linkedin.com/company/newfund-management/,https://twitter.com/Newfund,https://payhip.com/projectstartups
Newzone Ventures,https://newzone.vc,"Lisbon (Portugal), London (United Kingdom)","Pre-Seed, Seed",https://newzone.vc/portfolio/,"Enterprise Software, Cloud Infrastructure, AI, ML, Data Analytics, Fashion, Retail, FinTech, InsurTech, JobTech, HRTech, MarTech, Logistics, Digital Media, Gaming, EdTech, EnergyTech, Marketplaces",https://www.linkedin.com/company/newzone-ventures/,https://twitter.com/Newzone_vc,https://payhip.com/projectstartups
Next Gear Ventures,https://www.nextgear.fund,Tel Aviv (Israel),"Pre-Seed, Seed, Series A",https://www.nextgear.fund/portfolio,"Smart Mobility (Deep Learning, Sensors, Batteries, Imaging, Autonomous Driving, Autonomous Systems, Fleets)",https://www.linkedin.com/company/nextgearventures/,,https://payhip.com/projectstartups
NextView Ventures,https://nextview.vc,"Boston (United States), New York (United States)","Pre-Seed, Seed",https://nextview.vc/investments/,"Everyday Economy (FoodTech, Housing/Real Estate/PropTech, Apparel/E-commerce, Transportation/Mobility, HealthTech, Future of Work, Money/FinTech, Entertainment)",https://www.linkedin.com/company/nextview-ventures,https://twitter.com/nextviewvc,https://payhip.com/projectstartups
NFX,https://www.nfx.com,"San Francisco (United States), Palo Alto (United States), Herzlia (Israel)","Pre-Seed, Seed, Series A",https://www.nfx.com/companies,"Network Effects, B2B Marketplace/B2B Services, Consumer Marketplace/Consumer Internet, Communities, Digital Media/Social Media, BioTech/Tech-Bio, SaaS/Software",https://www.linkedin.com/company/nfx-guild/,https://twitter.com/nfx,https://payhip.com/projectstartups
​​NOEMIS Ventures,https://www.noemisventures.com,New York (United States),"Pre-Seed, Seed",https://www.noemisventures.com/portfolio,"FinTech, Artificial Intelligence, AI/ML, Marketplaces, B2B, Consumer Tech",https://www.linkedin.com/company/noemis-ventures/about/,,https://payhip.com/projectstartups
